title;authors;country;genre;anthology;type;language_original;language_read;rating;dates_read
The End of Faith: Religion, Terror, and the Future of Reason;Sam Harris;United States;Philosophy, Sociology, Religion;No;Nonfiction;English;English;;2016
The Meaning of Human Existence;Edward O. Wilson;United States;Philosophy;No;Nonfiction;English;English;;2016
Stoner;John Williams;United States;Classics, Literary Fiction;No;Fiction;English;English;;2016
Pittsburgh's Bridges;Todd Wilson Pe, Helen Wilson;United States;History;No;Nonfiction;English;English;;2016
The Sources of Normativity;Christine M. Korsgaard;United States;Philosophy;No;Nonfiction;English;English;;2016
Islam and the Future of Tolerance: A Dialogue;Maajid Nawaz, Sam Harris;United Kingdom, United States;Religion, Sociology;No;Nonfiction;English;English;;2016
The End of Power;Moisés Naím;Libya, Venezuela;Sociology, History;No;Nonfiction;English;English;;2016
Rational Ritual;Michael Suk-Young Chwe;United States;Sociology;No;Nonfiction;English;English;;2016
On Certainty;Ludwig Wittgenstein;Austria, United Kingdom;Philosophy;No;Nonfiction;German, English;English;;2016
The Structure of Scientific Revolutions;Thomas S. Kuhn;United States;Philosophy, Science;No;Nonfiction;English;English;;2016
A Short History of Ethics: A History of Moral Philosophy from the Homeric Age to the Twentieth Century;Alasdair MacIntyre;United Kingdom, United States;Philosophy, History;No;Nonfiction;English;English;;2016
Introduction to Electrodynamics;David J. Griffiths;United States;Science;No;Nonfiction;English;English;;2016
Classicsal Mechanics;John R. Taylor;United States;Science;No;Nonfiction;English;English;;2016
Stories of Your Life and Others;Ted Chiang;United States;Science Fiction, Speculative Fiction;Yes;Fiction;English;English;10;2017
Chaos: A Very Short Introduction;Leonard Smith;United Kingdom;Science;No;Nonfiction;English;English;;2017
Voices from Chernobyl;Svetlana Alexiévich;Ukraine, Belarus;History;Yes;Nonfiction;Russian;English;;2017
Secondhand Time;Svetlana Alexiévich;Ukraine, Belarus;History;No;Nonfiction;Russian;English;10;2017
Nordic Light: Modern Scandinavian Architecture;Henry Plummer;United States;Architecture;No;Nonfiction;English;English;;2017
Eighty Days of Sunlight;Thought Catalog, Robert Yune;United States;Young Adult;No;Fiction;English;English;;2017
Mysteries of Pittsburgh;Michael Chabon;United States;Young Adult;No;Fiction;English;English;;2017
The Motorcycle Diaries;Ernesto Che Guevara;Argentina, Cuba, Bolivia;History, Sociology;No;Nonfiction;Spanish;English;;2017
The Genealogy of Morals;Friedrich Nietzsche;Germany;Philosophy;No;Nonfiction;German;English;;2017
The Almost Nearly Perfect People;Michael Booth;United Kingdom;Sociology;No;Nonfiction;English;English;;2017
Homo Deus: A Brief History of Tomorrow;Yuval Noah Harari;Israel;History;No;Nonfiction;Hebrew;English;10;2017
The Perks of Being a Wallflower;Stephen Chbosky;United States;Young Adult;No;Fiction;English;English;;2017
The Kite Runner;Khaled Hosseini;Afghanistan, United States;Historical Fiction, Literary Fiction;No;Fiction;English;English;;2017
Putin Country: A Journey into the Real Russia;Anne Garrels;United States;Sociology;No;Nonfiction;English;English;;2017
The Technological Singularity;Murray Shanahan;United Kingdom;Science, Sociology;No;Nonfiction;English;English;;2017
Gödel's Proof, Revised Edition;Ernest Nagel, James R. Newman, Douglas R. Hofstadter;Slovakia, United States, United States, United States;Science;No;Nonfiction;English;English;;2017
Ball Lightning;Liu Cixin;China;Science Fiction;No;Fiction;Chinese;Chinese;;2017
Fences;August Wilson;United States;Historical Fiction;No;Fiction;English;English;;2017
Blindsight;Peter Watts;Canada;Science Fiction;No;Fiction;English;English;10;2017
The Japanese Mind;Roger J. Davies, Osamu Ikeno;United States, Japan;Sociology;No;Nonfiction;English;English;;2017
The Consolations of the Forest;Sylvain Tesson;France;Psychology;No;Nonfiction;French;English;;2017
The Unwomanly Face of War;Svetlana Alexiévich;Ukraine, Belarus;History;No;Nonfiction;Russian;English;;2018
Zinky Boys;Svetlana Alexiévich;Ukraine, Belarus;History;No;Nonfiction;Russian;English;;2018
The Hungarians: A Thousand Years of Victory in Defeat;Paul Lendvai;Hungary, Austria;History;No;Nonfiction;English;English;;2018
Supernova Era;Liu Cixin;China;Science Fiction;No;Fiction;Chinese;English;;2018
The Wandering Earth: Classics Science Fiction Collection;Liu Cixin;China;Science Fiction;Yes;Fiction;Chinese;English;;2018
Galaxy Formation and Evolution;Houjun Mo, Frank van den Bosch, Simon White;United States, United States, United Kingdom, Germany;Science;No;Nonfiction;English;English;;2018
Computational Physics;Mark Newman;United Kingdom;Science;No;Nonfiction;English;English;;2018
Mathematical Methods for Physics and Engineering;M. P. Hobson, K. F. Riley, S. J. Bence;United Kingdom;Science;No;Nonfiction;English;English;;2018
An Introduction to Quantum Field Theory;Michael E. Peskin, Daniel V. Schroeder;United States;Science;No;Nonfiction;English;English;;2019
Physical Foundations of Cosmology;Viatcheslav Mukhanov;Russian Federation, Germany;Science;No;Nonfiction;English;English;10;2019
The Martian Chronicles;Ray Bradbury;United States;Science Fiction;No;Fiction;English;English;;2020
A First Course in General Relativity;Bernard F. Schutz;United States;Science;No;Nonfiction;English;English;;2020
Gravitation;Kip S. Thorne, John Archibald Wheeler, Charles W. Misner;United States;Science;No;Nonfiction;English;English;10;2021
21 Lessons for the 21st Century;Yuval Noah Harari;Israel;History, Sociology;No;Nonfiction;Hebrew;English;;2021
The City and the Stars;Arthur C. Clarke;United Kingdom, Sri Lanka;Science Fiction;No;Fiction;English;English;;2022
Tau Zero;Poul Anderson;United States;Science Fiction;No;Fiction;English;English;;2022
Star Maker;Olaf Stapledon;United Kingdom;Science Fiction;No;Fiction;English;English;;2022
Last and First Men;Olaf Stapledon;United Kingdom;Science Fiction;No;Fiction;English;English;;2022
Rendezvous with Rama;Arthur C. Clarke;United Kingdom, Sri Lanka;Classics, Science Fiction;No;Fiction;English;English;;2022
The Fountains of Paradise;Arthur C. Clarke;United Kingdom, Sri Lanka;Science Fiction;No;Fiction;English;English;;2022
Childhood's End;Arthur C. Clarke;United Kingdom, Sri Lanka;Science Fiction, Speculative Fiction;No;Fiction;English;English;10;2022
The Left Hand of Darkness;Ursula K. Le Guin;United States;Classics, Science Fiction, Speculative Fiction;No;Fiction;English;English;10;2022
The Dispossessed;Ursula K. Le Guin;United States;Classics, Science Fiction, Speculative Fiction;No;Fiction;English;English;10;2023
The Sirens of Titan;Kurt Vonnegut;United States;Classics, Science Fiction, Speculative Fiction;No;Fiction;English;English;;2023
Neuromancer;William Gibson;United States;Science Fiction;No;Fiction;English;English;;2023
Cat's Cradle;Kurt Vonnegut;United States;Classics, Science Fiction, Speculative Fiction;No;Fiction;English;English;;2023
Solaris;Stanisław Lem;Poland;Classics, Science Fiction;No;Fiction;Polish;English;10;2023
Ringworld;Larry Niven;United States;Science Fiction;No;Fiction;English;English;10;2023
Raft;Stephen Baxter;United Kingdom;Science Fiction;No;Fiction;English;English;;2023
The Stars My Destination;Alfred Bester;United States;Science Fiction, Speculative Fiction;No;Fiction;English;English;10;2023
Norstrilia;Cordwainer Smith;United States;Science Fiction, Speculative Fiction;No;Fiction;English;English;;2023
Revelation Space;Alastair Reynolds;United Kingdom;Science Fiction;No;Fiction;English;English;10;2023
Dragon's Egg;Robert L. Forward;United States;Science Fiction;No;Fiction;English;English;;2023
Exhalation;Ted Chiang;United States;Science Fiction, Speculative Fiction;Yes;Fiction;English;English;10;2023
The Word for World Is Forest;Ursula K. Le Guin;United States;Classics, Science Fiction, Speculative Fiction;No;Fiction;English;English;10;2023
Translation State;Ann Leckie;United States;Science Fiction;No;Fiction;English;English;;2024
Now Write! Science Fiction, Fantasy and Horror: Speculative Genre Exercises from Today's Best Writers and Teachers;Laurie Lamson;United States;Anthology;Yes;Nonfiction;English;English;;2024
The Head Of Professor Dowell;Alexander Belyaev;Russian Federation;Science Fiction;No;Fiction;Russian;English;;2024
Worlds of Exile and Illusion: Rocannon's World, Planet of Exile, City of Illusions;Ursula K. Le Guin;United States;Science Fiction, Speculative Fiction;Yes;Fiction;English;English;;2024
Do Androids Dream of Electric Sheep?;Philip K. Dick;United States;Classics, Science Fiction;No;Fiction;English;English;;2024
Quantum Radio;A.G. Riddle;United States;Science Fiction;No;Fiction;English;English;;2024
The Moon is a Harsh Mistress;Robert A. Heinlein;United States;Classics, Science Fiction;No;Fiction;English;English;;2024
Plutoshine;Lucy Kissick;United Kingdom;Science Fiction;No;Fiction;English;English;;2024
All Tomorrows;Nemo Ramjet, C.M. Kösemen;Türkiye;Science Fiction;No;Fiction;English;English;;2024
The Garin Death Ray;Alexei Tolstoy;Russian Federation;Science Fiction;No;Fiction;Russian;English;;2024
Forskardrömmar;Sveriges Unga Akademi;Sweden;Anthology;Yes;Nonfiction;Swedish;Swedish;;2025
Flicka försvunnen (lättläst);Sara Lövestam;Sweden;Thriller;No;Fiction;Swedish;Swedish;;2025
Pyramiden (lättläst);Henning Mankell;Sweden;Thriller;No;Fiction;Swedish;Swedish;;2025
A Fire Upon the Deep;Vernor Vinge;United States;Science Fiction;No;Fiction;English;English;10;2025
Anna, Hanna och Johanna (lättläst);Marianne Fredriksson;Sweden;Historical Fiction;No;Fiction;Swedish;Swedish;;2025
Frankenstein;Mary Shelley;United Kingdom;Classics, Science Fiction, Speculative Fiction, Literary Fiction;No;Fiction;English;English;;2025
Hard to Be a God;Boris Strugatsky, Arkady Strugatsky;Russian Federation;Science Fiction, Speculative Fiction;No;Fiction;Russian;English;;2025
Isprinsessan (lättläst);Camilla Läckberg;Sweden;Thriller;No;Fiction;Swedish;Swedish;;2025
The Mote in God's Eye;Jerry Pournelle, Larry Niven;United States;Science Fiction;No;Fiction;English;English;;2025
The Female Man;Joanna Russ;United States;Classics, Science Fiction, Speculative Fiction;No;Fiction;English;English;10;2025
Flowers for Algernon;Daniel Keyes;United States;Classics, Science Fiction, Speculative Fiction, Literary Fiction;No;Fiction;English;English;10;2025
Blood Music;Greg Bear;United States;Science Fiction;No;Fiction;English;English;10;2025
A Memory Called Empire;Arkady Martine;United States;Science Fiction, Speculative Fiction;No;Fiction;English;English;10;2025
A Desolation Called Peace;Arkady Martine;United States;Science Fiction, Speculative Fiction;No;Fiction;English;English;10;2025
Vagabonds;Hao Jingfang;China;Science Fiction;No;Fiction;Chinese;Chinese;;2025
In the Depths of Loneliness;Hao Jingfang;China;Science Fiction;Yes;Fiction;Chinese;Chinese;;2025
Dawn;Octavia E. Butler;United States;Science Fiction;No;Fiction;English;English;10;2025
Adulthood Rites;Octavia E. Butler;United States;Science Fiction;No;Fiction;English;English;10;2025
Imago;Octavia E. Butler;United States;Science Fiction;No;Fiction;English;English;10;2025
Stand on Zanzibar;John Brunner;United Kingdom;Classics, Science Fiction;No;Fiction;English;English;;2025
The Two Lies of Faven Sythe;Megan E. O'Keefe;United States;Science Fiction, Speculative Fiction;No;Fiction;English;English;;2025
Hum;Helen Phillips;United States;Science Fiction, Speculative Fiction;No;Fiction;English;English;;2025
Rose/House;Arkady Martine;United States;Science Fiction, Speculative Fiction;No;Fiction;English;English;;2025
Grass;Sheri S. Tepper;United States;Classics, Science Fiction;No;Fiction;English;English;10;2025
You Glow in The Dark;Liliana Colanzi;Bolivia;Science Fiction, Speculative Fiction;Yes;Fiction;Spanish;English;;2025
Five Ways to Forgiveness;Ursula K. Le Guin;United States;Science Fiction, Speculative Fiction;Yes;Fiction;English;English;10;2025
All Systems Red;Martha Wells;United States;Science Fiction;No;Fiction;English;English;;2025
Children of Time;Adrian Tchaikovsky;United Kingdom;Science Fiction;No;Fiction;English;English;10;2025
The Lathe of Heaven;Ursula K. Le Guin;United States;Science Fiction, Speculative Fiction;No;Fiction;English;English;10;2025
Roadside Picnic;Boris Strugatsky, Arkady Strugatsky;Russian Federation;Classics, Science Fiction, Speculative Fiction;No;Fiction;Russian;English;;2025
The Drowned World;JG Ballard;United Kingdom;Science Fiction, Speculative Fiction;No;Fiction;English;English;;2025
Hammajang Luck;Makana Yamamoto;United States;Science Fiction;No;Fiction;English;English;;2026
Animal Farm;George Orwell;United Kingdom;Classics, Science Fiction, Speculative Fiction, Literary Fiction;No;Fiction;English;English;;2026
The Hitchhiker's Guide to the Galaxy;Douglas Adams;United Kingdom;Classics, Science Fiction, Speculative Fiction;No;Fiction;English;English;;2026
To Say Nothing of the Dog;Connie Willis;United Kingdom;Science Fiction, Speculative Fiction;No;Fiction;English;English;;2026
Synners;Pat Cadigan;United Kingdom, United States;Science Fiction;No;Fiction;English;English;;2026
Jitterbug;Gareth L. Powell;United Kingdom;Science Fiction;No;Fiction;English;English;;2026
The Employees;Olga Ravn;Denmark;Science Fiction, Speculative Fiction, Literary Fiction;No;Fiction;Danish;English;;2026
Toward Eternity;Anton Hur;South Korea;Science Fiction, Speculative Fiction, Literary Fiction;No;Fiction;English;English;;2026
The Algebraist;Ian M. Banks;United Kingdom;Science Fiction;No;Fiction;English;English;;2026
Orbital;Samantha Harvey;United Kingdom;Science Fiction, Literary Fiction;No;Fiction;English;English;;2026
The Metamorphosis of Prime Intellect;Roger Williams;United States;Science Fiction;No;Fiction;English;English;;2026
There Is No Antimemetics Division;qntm;United Kingdom;Science Fiction, Speculative Fiction;No;Fiction;English;English;10;2026
I Who Have Never Known Men;Jacqueline Harpman;Belgium;Speculative Fiction, Literary Fiction;No;Fiction;French;English;;2026
The Library of Babel;Jorge Luis Borges;Argentina;Speculative Fiction, Classics, Philosophy;Yes;Fiction;Spanish;English;;2026
Bhagavad Gita;N/A;India;Philosophy, Religion, Classics;No;Fiction;Sanskrit;English;;2026
The Proposal;Bae Myung-hoon;South Korea;Science Fiction;No;Fiction;Korean;English;;2026
Every Version of You;Grace Chan;Malaysia, Australia;Science Fiction;No;Fiction;English;English;;2026
Native Tongue ;Suzette Haden Elgin;United States;Science Fiction;No;Fiction;English;English;10;2026
I Am Legend ;Richard Matheson;United States;Classics, Science Fiction;No;Fiction;English;English;;2026
Artemis;Andy Weir;United States;Science Fiction;No;Fiction;English;Swedish;;2026
A Perfect Vacuum ;Stanisław Lem;Poland;Science Fiction, Speculative Fiction;Yes;Fiction;Polish;English;;2026
The Long Tomorrow;Leigh Brackett;United States;Science Fiction;No;Fiction;English;English;;2026
On the Beach;Nevil Shute;United Kingdom, Australia;Classics, Science Fiction, Speculative Fiction;No;Fiction;English;English;;2026
When There Are Wolves Again;E. J. Swift;United Kingdom;Speculative Fiction;No;Fiction;English;English;;2026
She Who Remains;Rene Karabash;Bulgaria;Literary Fiction;No;Fiction;Bulgarian;English;;2026
The Quantum Thief;Hannu Rajaniemi;Finland;Science Fiction;No;Fiction;English;English;;2026
Slow Gods;Claire North;United Kingdom;Science Fiction;No;Fiction;English;English;;2026
